# r numerical exact
0.00984614 0.00974967 0.00974967
0.00989303 0.00979564 0.00979564
0.00993991 0.0098416 0.0098416
0.0099868 0.00988756 0.00988756
0.0100337 0.00993352 0.00993352
0.0100806 0.00997947 0.00997947
0.0101275 0.0100254 0.0100254
0.0101743 0.0100714 0.0100714
0.0102212 0.0101173 0.0101173
0.0102681 0.0101632 0.0101632
0.010315 0.0102092 0.0102092
0.0103619 0.0102551 0.0102551
0.0104088 0.010301 0.010301
0.0104557 0.0103469 0.0103469
0.0105026 0.0103929 0.0103929
0.0105495 0.0104388 0.0104388
0.0105964 0.0104847 0.0104847
0.0106433 0.0105306 0.0105306
0.0106901 0.0105765 0.0105765
0.010737 0.0106224 0.0106224
0.0107839 0.0106683 0.0106683
0.0108308 0.0107142 0.0107142
0.0108777 0.01076 0.01076
0.0109246 0.0108059 0.0108059
0.0109715 0.0108518 0.0108518
0.0110184 0.0108977 0.0108977
0.0110653 0.0109435 0.0109435
0.0111122 0.0109894 0.0109894
0.0111591 0.0110353 0.0110353
0.011206 0.0110811 0.0110811
0.0112529 0.011127 0.011127
0.0112998 0.0111728 0.0111728
0.0113467 0.0112187 0.0112187
0.0113936 0.0112645 0.0112645
0.0114405 0.0113104 0.0113104
0.0114874 0.0113562 0.0113562
0.0115343 0.011402 0.011402
0.0115812 0.0114478 0.0114478
0.0116281 0.0114937 0.0114937
0.011675 0.0115395 0.0115395
0.0117219 0.0115853 0.0115853
0.0117688 0.0116311 0.0116311
0.0118157 0.0116769 0.0116769
0.0118626 0.0117227 0.0117227
0.0119095 0.0117685 0.0117685
0.0119564 0.0118143 0.0118143
0.0120033 0.0118601 0.0118601
0.0120502 0.0119059 0.0119059
0.0120971 0.0119517 0.0119517
0.012144 0.0119975 0.0119975
0.012191 0.0120432 0.0120432
0.0122379 0.012089 0.012089
0.0122848 0.0121348 0.0121348
0.0123317 0.0121805 0.0121805
0.0123786 0.0122263 0.0122263
0.0124255 0.0122721 0.0122721
0.0124724 0.0123178 0.0123178
0.0125193 0.0123636 0.0123636
0.0125662 0.0124093 0.0124093
0.0126131 0.012455 0.012455
0.0126601 0.0125008 0.0125008
0.012707 0.0125465 0.0125465
0.0127539 0.0125922 0.0125922
0.0128008 0.012638 0.012638
0.0128477 0.0126837 0.0126837
0.0128946 0.0127294 0.0127294
0.0129415 0.0127751 0.0127751
0.0129884 0.0128208 0.0128208
0.0130354 0.0128665 0.0128665
0.0130823 0.0129123 0.0129123
0.0131292 0.0129579 0.0129579
0.0131761 0.0130036 0.0130036
0.013223 0.0130493 0.0130493
0.01327 0.013095 0.013095
0.0133169 0.0131407 0.0131407
0.0133638 0.0131864 0.0131864
0.0134107 0.0132321 0.0132321
0.0134576 0.0132777 0.0132777
0.0135046 0.0133234 0.0133234
0.0135515 0.0133691 0.0133691
0.0135984 0.0134147 0.0134147
0.0136453 0.0134604 0.0134604
0.0136922 0.013506 0.013506
0.0137392 0.0135517 0.0135517
0.0137861 0.0135973 0.0135973
0.013833 0.013643 0.013643
0.0138799 0.0136886 0.0136886
0.0139269 0.0137343 0.0137343
0.0139738 0.0137799 0.0137799
0.0140207 0.0138255 0.0138255
0.0140676 0.0138711 0.0138711
0.0141146 0.0139167 0.0139167
0.0141615 0.0139624 0.0139624
0.0142084 0.014008 0.014008
0.0142554 0.0140536 0.0140536
0.0143023 0.0140992 0.0140992
0.0143492 0.0141448 0.0141448
0.0143961 0.0141904 0.0141904
0.0144431 0.014236 0.014236
0.01449 0.0142816 0.0142816
0.0145369 0.0143271 0.0143271
0.0145839 0.0143727 0.0143727
0.0146308 0.0144183 0.0144183
0.0146777 0.0144639 0.0144639
0.0147247 0.0145094 0.0145094
0.0147716 0.014555 0.014555
0.0148185 0.0146006 0.0146006
0.0148655 0.0146461 0.0146461
0.0149124 0.0146917 0.0146917
0.0149594 0.0147372 0.0147372
0.0150063 0.0147828 0.0147828
0.0150532 0.0148283 0.0148283
0.0151002 0.0148739 0.0148739
0.0151471 0.0149194 0.0149194
0.015194 0.0149649 0.0149649
0.015241 0.0150105 0.0150105
0.0152879 0.015056 0.015056
0.0153349 0.0151015 0.0151015
0.0153818 0.015147 0.015147
0.0154288 0.0151925 0.0151925
0.0154757 0.015238 0.015238
0.0155226 0.0152835 0.0152835
0.0155696 0.015329 0.015329
0.0156165 0.0153745 0.0153745
0.0156635 0.01542 0.01542
0.0157104 0.0154655 0.0154655
0.0157574 0.015511 0.015511
0.0158043 0.0155565 0.0155565
0.0158513 0.015602 0.015602
0.0158982 0.0156474 0.0156474
0.0159451 0.0156929 0.0156929
0.0159921 0.0157384 0.0157384
0.016039 0.0157838 0.0157838
0.016086 0.0158293 0.0158293
0.0161329 0.0158748 0.0158748
0.0161799 0.0159202 0.0159202
0.0162268 0.0159657 0.0159657
0.0162738 0.0160111 0.0160111
0.0163207 0.0160565 0.0160565
0.0163677 0.016102 0.016102
0.0164147 0.0161474 0.0161474
0.0164616 0.0161928 0.0161928
0.0165086 0.0162383 0.0162383
0.0165555 0.0162837 0.0162837
0.0166025 0.0163291 0.0163291
0.0166494 0.0163745 0.0163745
0.0166964 0.0164199 0.0164199
0.0167433 0.0164653 0.0164653
0.0167903 0.0165107 0.0165107
0.0168373 0.0165561 0.0165561
0.0168842 0.0166015 0.0166015
0.0169312 0.0166469 0.0166469
0.0169781 0.0166923 0.0166923
0.0170251 0.0167377 0.0167377
0.0170721 0.0167831 0.0167831
0.017119 0.0168284 0.0168284
0.017166 0.0168738 0.0168738
0.0172129 0.0169192 0.0169192
0.0172599 0.0169646 0.0169646
0.0173069 0.0170099 0.0170099
0.0173538 0.0170553 0.0170553
0.0174008 0.0171006 0.0171006
0.0174478 0.017146 0.017146
0.0174947 0.0171913 0.0171913
0.0175417 0.0172367 0.0172367
0.0175887 0.017282 0.017282
0.0176356 0.0173273 0.0173273
0.0176826 0.0173727 0.0173727
0.0177296 0.017418 0.017418
0.0177765 0.0174633 0.0174633
0.0178235 0.0175086 0.0175086
0.0178705 0.0175539 0.0175539
0.0179174 0.0175993 0.0175993
0.0179644 0.0176446 0.0176446
0.0180114 0.0176899 0.0176899
0.0180583 0.0177352 0.0177352
0.0181053 0.0177805 0.0177805
0.0181523 0.0178258 0.0178258
0.0181993 0.0178711 0.0178711
0.0182462 0.0179163 0.0179163
0.0182932 0.0179616 0.0179616
0.0183402 0.0180069 0.0180069
0.0183872 0.0180522 0.0180522
0.0184341 0.0180974 0.0180974
0.0184811 0.0181427 0.0181427
0.0185281 0.018188 0.018188
0.0185751 0.0182332 0.0182332
0.0186221 0.0182785 0.0182785
0.018669 0.0183237 0.0183237
0.018716 0.018369 0.018369
0.018763 0.0184142 0.0184142
0.01881 0.0184595 0.0184595
0.018857 0.0185047 0.0185047
0.0189039 0.0185499 0.0185499
0.0189509 0.0185952 0.0185952
0.0189979 0.0186404 0.0186404
0.0190449 0.0186856 0.0186856
0.0190919 0.0187308 0.0187308
0.0191389 0.018776 0.018776
0.0191858 0.0188213 0.0188213
0.0192328 0.0188665 0.0188665
0.0192798 0.0189117 0.0189117
0.0193268 0.0189569 0.0189569
0.0193738 0.0190021 0.0190021
0.0194208 0.0190472 0.0190472
0.0194678 0.0190924 0.0190924
0.0195148 0.0191376 0.0191376
0.0195617 0.0191828 0.0191828
0.0196087 0.019228 0.019228
0.0196557 0.0192731 0.0192731
0.0197027 0.0193183 0.0193183
0.0197497 0.0193635 0.0193635
0.0197967 0.0194086 0.0194086
0.0198437 0.0194538 0.0194538
0.0198907 0.019499 0.019499
0.0199377 0.0195441 0.0195441
0.0199847 0.0195893 0.0195893
0.0200317 0.0196344 0.0196344
0.0200787 0.0196795 0.0196795
0.0201257 0.0197247 0.0197247
0.0201727 0.0197698 0.0197698
0.0202197 0.0198149 0.0198149
0.0202667 0.0198601 0.0198601
0.0203137 0.0199052 0.0199052
0.0203607 0.0199503 0.0199503
0.0204077 0.0199954 0.0199954
0.0204547 0.0200405 0.0200405
0.0205017 0.0200856 0.0200856
0.0205487 0.0201307 0.0201307
0.0205957 0.0201758 0.0201758
0.0206427 0.0202209 0.0202209
0.0206897 0.020266 0.020266
0.0207367 0.0203111 0.0203111
0.0207837 0.0203562 0.0203562
0.0208307 0.0204012 0.0204012
0.0208777 0.0204463 0.0204463
0.0209247 0.0204914 0.0204914
0.0209717 0.0205365 0.0205365
0.0210187 0.0205815 0.0205815
0.0210657 0.0206266 0.0206266
0.0211127 0.0206716 0.0206716
0.0211597 0.0207167 0.0207167
0.0212067 0.0207617 0.0207617
0.0212537 0.0208068 0.0208068
0.0213008 0.0208518 0.0208518
0.0213478 0.0208969 0.0208969
0.0213948 0.0209419 0.0209419
0.0214418 0.0209869 0.0209869
0.0214888 0.021032 0.021032
0.0215358 0.021077 0.021077
0.0215828 0.021122 0.021122
0.0216298 0.021167 0.021167
0.0216769 0.021212 0.021212
0.0217239 0.021257 0.021257
0.0217709 0.021302 0.021302
0.0218179 0.021347 0.021347
0.0218649 0.021392 0.021392
0.0219119 0.021437 0.021437
0.021959 0.021482 0.021482
0.022006 0.021527 0.021527
0.022053 0.021572 0.021572
0.0221 0.021617 0.021617
0.022147 0.0216619 0.0216619
0.0221941 0.0217069 0.0217069
0.0222411 0.0217519 0.0217519
0.0222881 0.0217968 0.0217968
0.0223351 0.0218418 0.0218418
0.0223822 0.0218868 0.0218868
0.0224292 0.0219317 0.0219317
0.0224762 0.0219767 0.0219767
0.0225232 0.0220216 0.0220216
0.0225703 0.0220665 0.0220665
0.0226173 0.0221115 0.0221115
0.0226643 0.0221564 0.0221564
0.0227113 0.0222013 0.0222013
0.0227584 0.0222463 0.0222463
0.0228054 0.0222912 0.0222912
0.0228524 0.0223361 0.0223361
0.0228994 0.022381 0.022381
0.0229465 0.0224259 0.0224259
0.0229935 0.0224708 0.0224708
0.0230405 0.0225157 0.0225157
0.0230876 0.0225606 0.0225606
0.0231346 0.0226055 0.0226055
0.0231816 0.0226504 0.0226504
0.0232287 0.0226953 0.0226953
0.0232757 0.0227402 0.0227402
0.0233227 0.0227851 0.0227851
0.0233698 0.02283 0.02283
0.0234168 0.0228748 0.0228748
0.0234639 0.0229197 0.0229197
0.0235109 0.0229646 0.0229646
0.0235579 0.0230094 0.0230094
0.023605 0.0230543 0.0230543
0.023652 0.0230992 0.0230992
0.023699 0.023144 0.023144
0.0237461 0.0231888 0.0231889
0.0237931 0.0232337 0.0232337
0.0238402 0.0232785 0.0232785
0.0238872 0.0233234 0.0233234
0.0239343 0.0233682 0.0233682
0.0239813 0.023413 0.023413
0.0240283 0.0234579 0.0234579
0.0240754 0.0235027 0.0235027
0.0241224 0.0235475 0.0235475
0.0241695 0.0235923 0.0235923
0.0242165 0.0236371 0.0236371
0.0242636 0.0236819 0.0236819
0.0243106 0.0237267 0.0237267
0.0243577 0.0237715 0.0237715
0.0244047 0.0238163 0.0238163
0.0244518 0.0238611 0.0238611
0.0244988 0.0239059 0.0239059
0.0245459 0.0239507 0.0239507
0.0245929 0.0239955 0.0239955
0.02464 0.0240403 0.0240403
0.024687 0.024085 0.024085
0.0247341 0.0241298 0.0241298
0.0247811 0.0241746 0.0241746
0.0248282 0.0242193 0.0242193
0.0248752 0.0242641 0.0242641
0.0249223 0.0243088 0.0243088
0.0249693 0.0243536 0.0243536
0.0250164 0.0243983 0.0243983
0.0250634 0.0244431 0.0244431
0.0251105 0.0244878 0.0244878
0.0251576 0.0245326 0.0245326
0.0252046 0.0245773 0.0245773
0.0252517 0.024622 0.024622
0.0252987 0.0246667 0.0246667
0.0253458 0.0247115 0.0247115
0.0253929 0.0247562 0.0247562
0.0254399 0.0248009 0.0248009
0.025487 0.0248456 0.0248456
0.025534 0.0248903 0.0248903
0.0255811 0.024935 0.024935
0.0256282 0.0249797 0.0249797
0.0256752 0.0250244 0.0250244
0.0257223 0.0250691 0.0250691
0.0257694 0.0251138 0.0251138
0.0258164 0.0251585 0.0251585
0.0258635 0.0252032 0.0252032
0.0259106 0.0252478 0.0252478
0.0259576 0.0252925 0.0252925
0.0260047 0.0253372 0.0253372
0.0260518 0.0253818 0.0253818
0.0260988 0.0254265 0.0254265
0.0261459 0.0254712 0.0254712
0.026193 0.0255158 0.0255158
0.0262401 0.0255605 0.0255605
0.0262871 0.0256051 0.0256051
0.0263342 0.0256498 0.0256498
0.0263813 0.0256944 0.0256944
0.0264283 0.025739 0.025739
0.0264754 0.0257837 0.0257837
0.0265225 0.0258283 0.0258283
0.0265696 0.0258729 0.0258729
0.0266166 0.0259175 0.0259175
0.0266637 0.0259622 0.0259622
0.0267108 0.0260068 0.0260068
0.0267579 0.0260514 0.0260514
0.026805 0.026096 0.026096
0.026852 0.0261406 0.0261406
0.0268991 0.0261852 0.0261852
0.0269462 0.0262298 0.0262298
0.0269933 0.0262744 0.0262744
0.0270404 0.026319 0.026319
0.0270874 0.0263636 0.0263636
0.0271345 0.0264081 0.0264081
0.0271816 0.0264527 0.0264527
0.0272287 0.0264973 0.0264973
0.0272758 0.0265419 0.0265419
0.0273229 0.0265864 0.0265864
0.0273699 0.026631 0.026631
0.027417 0.0266755 0.0266755
0.0274641 0.0267201 0.0267201
0.0275112 0.0267646 0.0267647
0.0275583 0.0268092 0.0268092
0.0276054 0.0268537 0.0268537
0.0276525 0.0268983 0.0268983
0.0276996 0.0269428 0.0269428
0.0277466 0.0269874 0.0269874
0.0277937 0.0270319 0.0270319
0.0278408 0.0270764 0.0270764
0.0278879 0.0271209 0.0271209
0.027935 0.0271654 0.0271654
0.0279821 0.02721 0.02721
0.0280292 0.0272545 0.0272545
0.0280763 0.027299 0.027299
0.0281234 0.0273435 0.0273435
0.0281705 0.027388 0.027388
0.0282176 0.0274325 0.0274325
0.0282647 0.027477 0.027477
0.0283118 0.0275215 0.0275215
0.0283589 0.0275659 0.0275659
0.028406 0.0276104 0.0276104
0.0284531 0.0276549 0.0276549
0.0285002 0.0276994 0.0276994
0.0285473 0.0277438 0.0277438
0.0285944 0.0277883 0.0277883
0.0286415 0.0278328 0.0278328
0.0286886 0.0278772 0.0278772
0.0287357 0.0279217 0.0279217
0.0287828 0.0279661 0.0279661
0.0288299 0.0280106 0.0280106
0.028877 0.028055 0.028055
0.0289241 0.0280995 0.0280995
0.0289712 0.0281439 0.0281439
0.0290183 0.0281883 0.0281883
0.0290654 0.0282328 0.0282328
0.0291125 0.0282772 0.0282772
0.0291596 0.0283216 0.0283216
0.0292067 0.028366 0.028366
0.0292538 0.0284105 0.0284105
0.029301 0.0284549 0.0284549
0.0293481 0.0284993 0.0284993
0.0293952 0.0285437 0.0285437
0.0294423 0.0285881 0.0285881
0.0294894 0.0286325 0.0286325
0.0295365 0.0286769 0.0286769
0.0295836 0.0287213 0.0287213
0.0296307 0.0287656 0.0287656
0.0296779 0.02881 0.02881
0.029725 0.0288544 0.0288544
0.0297721 0.0288988 0.0288988
0.0298192 0.0289431 0.0289431
0.0298663 0.0289875 0.0289875
0.0299134 0.0290319 0.0290319
0.0299606 0.0290762 0.0290762
0.0300077 0.0291206 0.0291206
0.0300548 0.0291649 0.0291649
0.0301019 0.0292093 0.0292093
0.030149 0.0292536 0.0292536
0.0301962 0.029298 0.029298
0.0302433 0.0293423 0.0293423
0.0302904 0.0293867 0.0293867
0.0303375 0.029431 0.029431
0.0303847 0.0294753 0.0294753
0.0304318 0.0295196 0.0295196
0.0304789 0.029564 0.029564
0.030526 0.0296083 0.0296083
0.0305732 0.0296526 0.0296526
0.0306203 0.0296969 0.0296969
0.0306674 0.0297412 0.0297412
0.0307145 0.0297855 0.0297855
0.0307617 0.0298298 0.0298298
0.0308088 0.0298741 0.0298741
0.0308559 0.0299184 0.0299184
0.0309031 0.0299627 0.0299627
0.0309502 0.0300069 0.0300069
0.0309973 0.0300512 0.0300512
0.0310444 0.0300955 0.0300955
0.0310916 0.0301398 0.0301398
0.0311387 0.030184 0.030184
0.0311859 0.0302283 0.0302283
0.031233 0.0302726 0.0302726
0.0312801 0.0303168 0.0303168
0.0313273 0.0303611 0.0303611
0.0313744 0.0304053 0.0304053
0.0314215 0.0304496 0.0304496
0.0314687 0.0304938 0.0304938
0.0315158 0.030538 0.030538
0.0315629 0.0305823 0.0305823
0.0316101 0.0306265 0.0306265
0.0316572 0.0306707 0.0306707
0.0317044 0.030715 0.030715
0.0317515 0.0307592 0.0307592
0.0317986 0.0308034 0.0308034
0.0318458 0.0308476 0.0308476
0.0318929 0.0308918 0.0308918
0.0319401 0.030936 0.030936
0.0319872 0.0309802 0.0309802
0.0320344 0.0310244 0.0310244
0.0320815 0.0310686 0.0310686
0.0321287 0.0311128 0.0311128
0.0321758 0.031157 0.031157
0.032223 0.0312012 0.0312012
0.0322701 0.0312454 0.0312454
0.0323173 0.0312895 0.0312895
0.0323644 0.0313337 0.0313337
0.0324116 0.0313779 0.0313779
0.0324587 0.031422 0.031422
0.0325059 0.0314662 0.0314662
0.032553 0.0315104 0.0315104
0.0326002 0.0315545 0.0315545
0.0326473 0.0315987 0.0315987
0.0326945 0.0316428 0.0316428
0.0327416 0.031687 0.031687
0.0327888 0.0317311 0.0317311
0.0328359 0.0317752 0.0317752
0.0328831 0.0318194 0.0318194
0.0329302 0.0318635 0.0318635
0.0329774 0.0319076 0.0319076
0.0330246 0.0319517 0.0319517
0.0330717 0.0319959 0.0319959
0.0331189 0.03204 0.03204
0.033166 0.0320841 0.0320841
0.0332132 0.0321282 0.0321282
0.0332604 0.0321723 0.0321723
0.0333075 0.0322164 0.0322164
0.0333547 0.0322605 0.0322605
0.0334018 0.0323046 0.0323046
0.033449 0.0323487 0.0323487
0.0334962 0.0323928 0.0323928
0.0335433 0.0324368 0.0324368
0.0335905 0.0324809 0.0324809
0.0336377 0.032525 0.032525
0.0336848 0.0325691 0.0325691
0.033732 0.0326131 0.0326131
0.0337792 0.0326572 0.0326572
0.0338263 0.0327012 0.0327012
0.0338735 0.0327453 0.0327453
0.0339207 0.0327894 0.0327894
0.0339678 0.0328334 0.0328334
0.034015 0.0328774 0.0328774
0.0340622 0.0329215 0.0329215
0.0341094 0.0329655 0.0329655
0.0341565 0.0330096 0.0330096
0.0342037 0.0330536 0.0330536
0.0342509 0.0330976 0.0330976
0.0342981 0.0331416 0.0331416
0.0343452 0.0331857 0.0331857
0.0343924 0.0332297 0.0332297
0.0344396 0.0332737 0.0332737
0.0344868 0.0333177 0.0333177
0.0345339 0.0333617 0.0333617
0.0345811 0.0334057 0.0334057
0.0346283 0.0334497 0.0334497
0.0346755 0.0334937 0.0334937
0.0347226 0.0335377 0.0335377
0.0347698 0.0335817 0.0335817
0.034817 0.0336256 0.0336256
0.0348642 0.0336696 0.0336696
0.0349114 0.0337136 0.0337136
0.0349586 0.0337576 0.0337576
0.0350057 0.0338015 0.0338015
0.0350529 0.0338455 0.0338455
0.0351001 0.0338895 0.0338895
0.0351473 0.0339334 0.0339334
0.0351945 0.0339774 0.0339774
0.0352417 0.0340213 0.0340213
0.0352889 0.0340653 0.0340653
0.035336 0.0341092 0.0341092
0.0353832 0.0341532 0.0341532
0.0354304 0.0341971 0.0341971
0.0354776 0.034241 0.034241
0.0355248 0.0342849 0.0342849
0.035572 0.0343289 0.0343289
0.0356192 0.0343728 0.0343728
0.0356664 0.0344167 0.0344167
0.0357136 0.0344606 0.0344606
0.0357608 0.0345045 0.0345045
0.035808 0.0345484 0.0345484
0.0358552 0.0345923 0.0345923
0.0359024 0.0346362 0.0346362
0.0359495 0.0346801 0.0346801
0.0359967 0.034724 0.034724
0.0360439 0.0347679 0.0347679
0.0360911 0.0348118 0.0348118
0.0361383 0.0348557 0.0348557
0.0361855 0.0348996 0.0348996
0.0362327 0.0349434 0.0349434
0.0362799 0.0349873 0.0349873
0.0363271 0.0350312 0.0350312
0.0363743 0.035075 0.035075
0.0364215 0.0351189 0.0351189
0.0364687 0.0351627 0.0351627
0.036516 0.0352066 0.0352066
0.0365632 0.0352504 0.0352504
0.0366104 0.0352943 0.0352943
0.0366576 0.0353381 0.0353381
0.0367048 0.035382 0.035382
0.036752 0.0354258 0.0354258
0.0367992 0.0354696 0.0354696
0.0368464 0.0355134 0.0355134
0.0368936 0.0355573 0.0355573
0.0369408 0.0356011 0.0356011
0.036988 0.0356449 0.0356449
0.0370352 0.0356887 0.0356887
0.0370824 0.0357325 0.0357325
0.0371297 0.0357763 0.0357763
0.0371769 0.0358201 0.0358201
